Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-07-28,213.2042,509.54,176.7206,294.0036,712.4963,47.447,163.1007,276.3307,232.79,294.1248,108.7305,151.3715,429.8736,208.7484,26.71
2025-07-29,210.4351,509.6096,175.4808,292.7814,720.698,47.1716,164.9552,255.7126,231.01,297.5161,110.1355,152.098,427.0041,205.6322,26.5262
2025-07-30,208.2239,510.2757,179.2402,295.3343,719.4869,47.1814,164.1212,260.5807,230.19,298.4401,109.1793,148.737,431.0452,206.0403,26.6133
2025-07-31,206.7498,530.4187,177.8404,291.9929,712.4373,46.5026,161.6485,244.4388,234.11,294.9603,108.9256,146.8773,434.9176,206.2165,26.5262
2025-08-01,201.5803,521.083,173.6911,285.2214,698.6334,44.9188,164.1899,232.8908,214.75,297.7323,106.9742,146.6448,425.6537,201.9131,26.8552
2025-08-04,202.5464,532.5464,179.9701,290.0413,714.8397,45.1057,167.8302,236.0349,211.65,299.0495,104.7594,146.2961,430.6282,204.7696,26.7875
2025-08-05,202.1181,524.7019,178.2304,287.1927,709.7986,44.8204,167.5359,245.8493,213.75,293.6825,104.6326,148.2333,431.1545,205.0201,26.8746
2025-08-06,212.4073,521.9082,179.3902,287.173,713.5695,44.6826,167.3887,240.7364,222.31,302.4211,103.9203,147.9815,424.6906,203.3228,26.6036
2025-08-07,219.1605,517.8319,180.74,282.8262,708.6466,44.1908,168.3111,239.6492,223.13,302.6668,103.374,148.3495,414.1656,200.8651,27.1552
2025-08-08,228.4437,519.0249,182.6696,284.6201,710.153,45.2631,170.0773,245.7415,222.69,300.2487,104.2033,150.1414,413.5699,200.6147,27.1746
2025-08-11,226.5391,518.7565,182.0297,285.4087,708.1543,45.4106,170.5581,247.1912,221.3,299.1773,103.2569,148.6304,405.6464,200.7446,27.2326
2025-08-12,229.0021,526.1833,183.1296,288.6515,731.9222,46.7289,169.5376,256.2024,221.47,296.5036,103.5496,149.5893,409.7869,201.264,27.5617
